Comunidad autónoma,Grupo,Año,Mes,IPC
Aragón,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,98.362
Aragón,Sanidad,2020,Mayo,102.918
Aragón,Sanidad,2020,Abril,102.2
Aragón,Sanidad,2020,Marzo,101.987
Aragón,Sanidad,2020,Febrero,101.866
Aragón,Sanidad,2020,Enero,101.887
Aragón,Transporte,2020,Mayo,101.013
Aragón,Transporte,2020,Abril,101.984
Aragón,Transporte,2020,Marzo,105.605
Aragón,Transporte,2020,Febrero,109.204
Aragón,Transporte,2020,Enero,110.181
Aragón,Comunicaciones,2020,Mayo,105.162
Aragón,Comunicaciones,2020,Abril,105.277
Aragón,Comunicaciones,2020,Marzo,105.448
Aragón,Comunicaciones,2020,Febrero,104.163
Aragón,Comunicaciones,2020,Enero,104.167
Aragón,Ocio y cultura,2020,Mayo,97.619
Aragón,Ocio y cultura,2020,Abril,99.294
Aragón,Ocio y cultura,2020,Marzo,98.676
Aragón,Ocio y cultura,2020,Febrero,98.772
Aragón,Ocio y cultura,2020,Enero,98.214
Aragón,Enseñanza,2020,Mayo,103.877
Aragón,Enseñanza,2020,Abril,103.877
Aragón,Enseñanza,2020,Marzo,103.868
Aragón,Enseñanza,2020,Febrero,103.868
Aragón,Enseñanza,2020,Enero,103.868
Aragón,Restaurantes y hoteles,2020,Mayo,109.468
Aragón,Restaurantes y hoteles,2020,Abril,108.978
Aragón,Restaurantes y hoteles,2020,Marzo,107.91
Aragón,Restaurantes y hoteles,2020,Febrero,108.262
Aragón,Restaurantes y hoteles,2020,Enero,107.34
Aragón,Otros bienes y servicios ,2020,Mayo,104.294
Aragón,Otros bienes y servicios ,2020,Abril,104.389
Aragón,Otros bienes y servicios ,2020,Marzo,103.935
Aragón,Otros bienes y servicios ,2020,Febrero,103.706
Aragón,Otros bienes y servicios ,2020,Enero,103.577
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Mayo,105.825
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Abril,106.134
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Marzo,104.46
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Febrero,104.033
"Asturias, Principado de",Alimentos y bebidas no alcohólicas,2020,Enero,104.422
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Mayo,105.059
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Abril,104.249
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Marzo,104.557
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Febrero,104.707
"Asturias, Principado de",Bebidas alcohólicas y tabaco,2020,Enero,103.605
"Asturias, Principado de",Vestido y calzado,2020,Mayo,111.028
"Asturias, Principado de",Vestido y calzado,2020,Abril,106.755
"Asturias, Principado de",Vestido y calzado,2020,Marzo,95.816
"Asturias, Principado de",Vestido y calzado,2020,Febrero,93.042
